ID,GuidingValues,Behaviors7days,Gender,Age,Ethnicity,PrimaryLanguage,Education,Income,Group,WC,Analytic,Authentic,WPS,BigWords,Linguistic,function,pronoun,ppron,i,we,shehe,they,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_neg,emotion,emo_neg,emo_anx,emo_anger,emo_sad,motion,Excl,SVS_Friendship,friend,talked,Met with someone,meet
100495,"I want to have fun.  I want to keep my family safe. I want to teach my kid well.  I want to get rich and have everything I want. I want to provide for my family. I want to have great sex every day.  I'm somewhat honest, unless I need to be dishonest for personal gain for myself and family.  I try everything that I want to try. /I'm smart and try to use it as best as I can",woke up / took a shower / ate breakfast / went to work / ate lunch / ate dinner / watched TV / used the computer / went to bed / screwed my wife / painted the steps / cut the grass / took my kid to the park / looked at animals / fed animals / left and took my kid for ice cream / ate ice cream / rented movies / watched them / ate popcorn / spilled popcorn / listened to wife holler about popcorn / screwed wife / went shopping / bought new laptop / came home / played with new laptop / ,1,4,white,english,3,2,v,80,20.35,2.73,8.89,7.5,88.75,58.75,26.25,21.25,21.25,0,0,0,11.25,3.75,6.25,1.25,23.75,3.75,20,0,1.25,16.25,1.25,0,1.25,0,10,0,1.25,0,0,0,0,0,2.5,2,Low,2,2,Low
102229,One of my most important guiding value is respect.  I am constantly thinking about how to give someone respect so that I can receive respect in return.  I believe disrespect for a man is a cut to the heart.  Respect within the family is also important to me.  I want to be respected for who I am and what I decide to do. /  / The second most important value of mine is perseverance.  I believe that if you constantly persevere toward attaining your goals then you will be heading in the right direction for success.  Perseverance has allowed me to complete a lot of my goals in life. /  / ,"Saturday:  Woke up early, took a shower, got dressed, ate breakfast, surfed the web, did laundry, ate out for lunch, surfed the web, watched TV, ate dinner, watched TV, read a book, went to sleep /  / Sunday:  Woke up early, took a shower, got dressed, ate breakfast, checked email, watched religious shows, ate lunch, watched TV, ate dinner, watched TV, read a book, went to sleep /  / Monday- Friday:  Woke up early, took a shower, got dressed, read the Bible, prayed, ate breakfast, went to work, ate lunch, came home, worked out, took a shower, ate dinner, watched TV, read a book and went to sleep. /  / Saturday:  Woke up early, took a shower, got dressed, ate breakfast, surfed the web, did laundry, ate out for lunch, surfed the web, watched TV, ate dinner, watched TV, read a book, went to sleep /  / ",1,5,White,English,5,3,v,107,49.2,96.38,13.38,24.3,75.7,65.42,18.69,14.95,11.21,0,0,0,14.02,0.93,6.54,6.54,9.35,0,9.35,4.67,1.87,1.87,1.87,0,0.93,0,14.02,0.93,0,0,0,0,0,1.87,1.87,3,Low,2,2,Low
103985,"I am somewhat religious and try to live according to my beliefs. I believe in treating everyone as if they are basically a good and important person. I believe we are all heroes on an adventure and must make the most of our limited time in this life on this planet. That is not to say that we shouldn't take the time to enjoy life, but that we will enjoy it more if we complete our quest.",I walked to the store once or twice to get food and household supplies. I gave my father his weekly allowance. I did a lot of household chores when I wasn't working on the computer. I got a few video games in the mail and some household supplies. I sometimes watched tv while I ate and relaxed. I helped take care of the dog and cleaned up after him.,2,4,White,English,3,1,v,77,18.12,41.14,19.25,18.18,79.22,66.23,23.38,14.29,5.19,7.79,0,1.3,9.09,7.79,1.3,0,18.18,2.6,15.58,3.9,1.3,3.9,3.9,0,5.19,0,6.49,0,3.9,0,0,0,0,0,5.19,3,Low,2,2,Low
104402,    I would imagine it all starts with ones up bringing.  I was raised with religion and the ten commandments and I hold those beliefs very high.  I was also raised hunting and fishing with the concept the you ate what you killed and never killed for the sport of it.   I values were NOT challenged when I join the Military and ended up on the DMZ in Korea.  I believe it boiled down to if someone is shooting at you to KILL you---you best shoot back to preserve your health.      I also valve honesty and I taught this to my kids.  It is truly a shame that out elected politicians couldn't be honest. /     I was lucky enough to get to see both sides of the pond (Korean and Europe) in my 3 year military career and then went back to school and learned Engineering where I became an accomplished Manufacturing Engineer.  Companies I worked for would sent me to other countries and states to set up production plants allowing them to transfer products to be build offshore and cheaper.  Now I might thing twice of the action I took back then as we need the jobs here.  I did expand my worldly knowledge and gave me a broader picture of the world and its people. /     Finally I value my family and all its members.,"    You hit it on target--cause I just got back from a 10 day stay in out dessert Cabin in Nevada.  Te wonderful days to R and R.  To make it nicer, one of my twin daughter and husband came out for 4 days.  THe wife brought a girlfriend and I brought myself.   /      Probably the most enjoyable part of the vacation was the quiet and solitude.  NO sirens, no helicopters, no  fire engines and NO police sirens.  We did here out emergency copter fly over ONE time but that's okay.   /      We went hiking and saw endangered PUP fish in the natural springs.  Went to the date farm and had a fig shake.  But sadly I must confess we were held up and robbed by the one armed bandits in the area. /  / we all enjoyed-",1,7,whte,English,4,3,v,225,37.14,91.76,18.75,16.89,71.11,59.11,18.67,13.33,9.78,0.44,0,0.44,7.11,1.78,1.78,3.56,9.33,1.33,8,2.67,0.44,1.78,1.33,0.44,1.33,0,4.44,1.78,0.44,0.44,0,0,0,2.22,0.89,6,High,3,2,Low
104555,"I'm glad that I have been blessed to live this long. There have been people around me that have not made it to my age. I lost my brother when he was a baby to SIDS. My cousin-in-law was gunned down when he was 15 years old. / Many people don't understand the value of life. I am glad that I do. / I am at the point where I am re-evaluating my life right now. I feel like there is always room for change.I am looking into ways to be successful, because I feel like everybody has a hand in their success. And in order for me to be successful I have to try. So I've been finding ways to be successful. / Money is a big part of everybody's life. Being poor is no fun. Living paycheck to paycheck. Not knowing how you are going to pay bills sometimes. It's hard to not be able to do the things you want to do because you don't have the money. / It's also hard to see people that are ""rich"" trying to find ways to keep you poor. (Republicans)",Every morning I wake up. Eat breakfast. Take a shower. Put my clothes on. Get ready to go to work. / After work I come home and cook dinner. After dinner I watch t.v. for a little while. I usually go to bed around 9:30 pm. / I have gone to a few fast food restaurants in the past week.  / I went to McDonald's on Saturday and ordered me a Big Mac meal. / I went to Captain D's on Sunday and had a Fish & Fry meal for dinner. / On Monday I went to the doctor for a check up. Thankfully everything was ok. / I went to Walmart on Monday also after I came back from the doctor's office.,2,4,African American,English,3,5,v,187,10.43,85.97,11,10.7,80.75,63.64,19.25,13.37,9.63,0,1.07,0.53,5.88,0.53,3.21,2.14,12.83,2.14,9.63,3.21,2.67,1.07,0.53,0,2.14,0,6.95,1.6,1.6,0,0,0,0,0,3.21,1,Low,2,2,Low
105091,"Honesty is always the best policy.  Without honesty, interaction is meaningless.  When a person lies, it is an insult to the person being lied to.  The liar thinks thy are stupid enough to believe the lie.  When a person tells a lie, they have to remember the lie so that they don't contradict it later.  Sooner or later, the liar will be caught and loose trust.  Trust is based on honesty.  Once trust is lost, it is almost impossible to re-establish.  If a person expects to be treated honestly, they have to act honestly.  A dishonest person is often the victim of dishonesty. /  / Other virtues spring from honesty.  Without honesty, it is difficult to be compassionate or charitable.  Charity is the honest desire to help others with no expectation of reciprocation.  In tharity, there is no tit for tat.  Charity is just giving, expecting nothing in return.  However: there is a thing called karma.  When a person is charitable and generous, returns do come in many ways.  ","My past week has been uneventful.  I worked four days as a retail cashier.  It is plesant work because of the interaction with customers.  My husband took pictures of flowers in our yard, uploaded them to my  phone and I showed them to customers.  Customers showed me pictures too.  On most days that I worked, my husband had dinner ready when I got home.  One day he grilled a T-Bone steak for me and the dog and a chicken breast for himself.   I asked why he grilled a chicken breast instead of steak for himself.  His answer was, ""I just felt like chicken.""  Most nights we watch tv for aboput three hours.  While watching tv, sometimes we have ice cream.   Once in the past week my husband made milk shakes.  ",2,7,White,English,2,3,v,167,53.01,61.72,9.82,20.96,70.66,55.69,6.59,2.4,0,0,0,1.8,4.19,2.99,0.6,0.6,14.97,2.4,12.57,2.4,1.2,0.6,2.99,1.2,5.39,0.6,10.18,2.4,1.2,0.6,0,0.6,0,2.4,4.79,7,High,4,4,Low
105481,"I value truth and meaning in life above most other things. I believe we must have a purpose here, that life can't be as desperately awful as it feels, and that there must be a purpose to the suffering. I value the innocent, nature, and animals and believe in taking care of these things and preventing as much pain to pothers as possible. I always try to not be a source of pain for anyone or anything. I believe love is valuable and may be the only thing that rea;;y lends meaning to life.","I have been sleeping a lot, often 12 hours or more. I will get up and eat a piece of fruit, watch some TV and try to do a bit of writing or find writing jobs. I have been doing some research into concrete projects and looking for plans to make hypertufa bowls and a potting table. I have also been looking at craigslist for furniture that can be taken apart for wood. I have searched the internet for garden pictures that I like, as I try to design a garden.  Every day is the same as the one before, and I have been very bored and depressed, so I haven't done much. I try to cheer myself up by watching and rewatching TV shows I like. I went out to lunch with my mom and visited a salvage yard and a couple of goodwill stores to find old glass bowls.",2,4,caucasian,English,5,7,v,95,28.1,21.03,19,16.84,78.95,64.21,16.84,6.32,5.26,1.05,0,0,3.16,1.05,1.05,1.05,25.26,3.16,22.11,5.26,3.16,6.32,5.26,4.21,4.21,0,8.42,5.26,6.32,5.26,0,0,0,0,5.26,4,High,2,3,High
105834,"This is deep.  I do try to be a good person, I want a lot for myself.  I am willing work hard to get it and I love to share with my people.  My people are the ones that I choose to keep in my life.  Since my parents passed away I am very close to my sister and my nephew who need a lot of care.  I love my partner very much. /  / So getting working hard to get the things for my partner and I that we need and want, and being able to help my sister and adult nephew.  This is what drives me now. /  / I suppose that if I had to state it as a guiding principle, I would say: /  / To work hard in life to care for those who are important to me.  That is my guiding star.  There is the creature comfort thing, I mean I am not a saint, I want to help them buy food and stuff but I still want my super fancy shoes and clothes and nice things in my house.  Would I sacrifice my luxuries for their necessities?  Of course but that doesn't mean I would like it. /  / I try to be a good kind person and model this behavior to those that I am with each day.","A week ago tonight I was sitting watching television and looking for HITS to complete on the Amazon Mechanical Turk system.  I got a phone call from a friend who knew that my partner was planning to visit his mother for Mother's day, and hoped I would visit her that weekend.  I agreed since she and I both have lost our mothers.  /  / I went to work each day, I am a hairdresser.  It looked at the beginning of the week that I was going to be slow and not make a lot of money.  Things picked up and I had an above average week, which made me happy.  I do enjoy my clients and work.   /  / I had to take my nephew on Wednesday for a psych exam for his social security disability.  He is 23 and I was vey worried as he does not go to the doctor or take his medications really.  The last diagnosis I had was ADD HD with and oppositional disorder.  With no recent medical history I  thought for sure they would cut him off.  This new Dr.  told me his real disorder is Severe Anti Social Anxiety Disorder, and that he was suggesting that nothing change for my nephew.  Which felt good.   /  / So I worked, walked my dogs, watched my Weight Watchers points and visited my friend.  It was a good week all in all.",1,5,American,English,7,13,v,218,16.59,54.95,15.57,8.26,77.52,64.22,27.06,18.35,16.06,0.46,0,0.92,7.34,4.13,3.21,0,10.55,0,10.55,0.92,0.46,5.5,0.92,0.92,1.83,0,8.72,0,3.21,0,0,0,0,0.46,4.13,6,High,6,2,Low
109158,"The most important value of my life is to do no harm; human rights above all else. A good work ethic is important as well because it helps build self-esteem and confidence. Having a sense of humor is important as well because it makes people happy and is just a great asset to have. Also, having the desire to know things about other people and their cultures is important as well. Being able to see things from their perspective is a good way to know about how people live their lives, even though it's very different from the way we live.","I mostly worked and slept. I ate food that I made occasionally. It's hard to do much else when you work over 50 hours a week. Here is my schedule though: Monday-Friday go to work at 6 and work til 2. Eat during lunchtime and at breaks. Then go home and work at my part-time jobs. So it's mostly working, eating, sleeping. On the weekend I mostly do chores and take care of errands.",2,5,white,english,5,2,v,101,31.89,27.66,20.2,10.89,76.24,61.39,9.9,4.95,0.99,0.99,0,2.97,4.95,1.98,2.97,0,14.85,1.98,12.87,4.95,3.96,0.99,0,0,3.96,0,14.85,0.99,4.95,0,0,0,0,0,0,5,High,3,2,Low
110521,"I believe having aspirations and goals to achieve is an important part of who I am because I was raised to continuously reach for something new. I was taught never to settle, and I think that has become instilled in me. Social justice and equality have become guiding values for me since entering the social work profession. Although they were always consistent with my views, I never truly understood the meaning of those values until they were put into practice in my work with oppressed populations. As a result, these values are close my heart and in the front of my mind. Loyalty and honesty are also important values to me because the most satisfying relationships are built upon these foundational values. They have the potential to make or break relationships with other people, and those are the values that I strive to realize in myself, as well as search for in others. ","I drove to my internship and had my last day on Monday. I ate cheesecake and chocolate covered strawberries and got presents. I then took a surprise trip to Philadelphia to see my boyfriend and his daughter. I then went home and prepared a presentation due the next day.  I went to school for my last day of the semester on Tuesday and had 3 classes and a pizza party. On Wednesday, I did all the laundry in the house and began my spring cleaning. On Thursday and Friday, I relaxed at home and caught up on some sleep. I also did some more cleaning and baking. Yesterday, I called my friend and we talked for about an hour to catch up. I also called and made an appointment to get a haircut next week.  Later, I worked on some homework with my boyfriend to help him out. After that, I took a long shower to relax and shaved my legs. I went to bed early and had some bad dreams, but slept well.",2,3,White,English,5,3,v,153,40.88,98.42,21.86,19.61,73.86,61.44,17.65,12.42,9.8,0,0,1.96,8.5,1.96,4.58,1.96,17.65,1.96,15.69,3.27,3.27,0.65,1.96,0.65,3.92,0,8.5,0.65,0,0,0,0,0,2.61,2.61,3,Low,6,4,High
