ID,SVS_Friendship,B_ArguedWithFriend,B_metWithGroupOfPeople,ColumnID,Text,Group,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male
100495,2,2,2,GuidingValues,"I want to have fun.  I want to keep my family safe. I want to teach my kid well.  I want to get rich and have everything I want. I want to provide for my family. I want to have great sex every day.  I'm somewhat honest, unless I need to be dishonest for personal gain for myself and family.  I try everything that I want to try. /I'm smart and try to use it as best as I can",v,80,20.35,1,2.73,99,8.89,7.5,98.75,88.75,58.75,26.25,21.25,21.25,0,0,0,0,5,6.25,0,0,17.5,8.75,2.5,7.5,0,27.5,10,2.5,11.25,3.75,6.25,1.25,23.75,3.75,20,0,1.25,16.25,1.25,0,1.25,0,10,10,0,1.25,1.25,0,0,0,0,0,12.5,5,0,0,0,2.5,0,7.5,6.25,0,0,0
100495,2,2,2,Behaviors7days,woke up / took a shower / ate breakfast / went to work / ate lunch / ate dinner / watched TV / used the computer / went to bed / screwed my wife / painted the steps / cut the grass / took my kid to the park / looked at animals / fed animals / left and took my kid for ice cream / ate ice cream / rented movies / watched them / ate popcorn / spilled popcorn / listened to wife holler about popcorn / screwed wife / went shopping / bought new laptop / came home / played with new laptop / ,v,80,97.77,75.49,28.56,99,80,18.75,66.25,52.5,23.75,5,5,3.75,0,0,0,1.25,0,10,6.25,0,11.25,0,1.25,1.25,0,25,2.5,0,5,3.75,1.25,0,1.25,0,1.25,0,1.25,0,0,0,0,0,8.75,8.75,0,0,0,0,0,0,0,0,11.25,1.25,0,0,0,0,1.25,10,8.75,0,3.75,0
102229,3,2,2,GuidingValues,One of my most important guiding value is respect.  I am constantly thinking about how to give someone respect so that I can receive respect in return.  I believe disrespect for a man is a cut to the heart.  Respect within the family is also important to me.  I want to be respected for who I am and what I decide to do. /  / The second most important value of mine is perseverance.  I believe that if you constantly persevere toward attaining your goals then you will be heading in the right direction for success.  Perseverance has allowed me to complete a lot of my goals in life. /  / ,v,107,49.2,25.01,96.38,99,13.38,24.3,91.59,75.7,65.42,18.69,14.95,11.21,0,2.8,0,0,3.74,15.89,6.54,1.87,16.82,11.21,5.61,4.67,0,18.69,4.67,6.54,14.02,0.93,6.54,6.54,9.35,0,9.35,4.67,1.87,1.87,1.87,0,0.93,0,14.02,13.08,0.93,0,0,0,0,0,0,0,15.89,8.41,5.61,0,0.93,0.93,0,6.54,0.93,0,0,0.93
102229,3,2,2,Behaviors7days,"Saturday:  Woke up early, took a shower, got dressed, ate breakfast, surfed the web, did laundry, ate out for lunch, surfed the web, watched TV, ate dinner, watched TV, read a book, went to sleep /  / Sunday:  Woke up early, took a shower, got dressed, ate breakfast, checked email, watched religious shows, ate lunch, watched TV, ate dinner, watched TV, read a book, went to sleep /  / Monday- Friday:  Woke up early, took a shower, got dressed, read the Bible, prayed, ate breakfast, went to work, ate lunch, came home, worked out, took a shower, ate dinner, watched TV, read a book and went to sleep. /  / Saturday:  Woke up early, took a shower, got dressed, ate breakfast, surfed the web, did laundry, ate out for lunch, surfed the web, watched TV, ate dinner, watched TV, read a book, went to sleep /  / ",v,139,99,40.06,38.75,20.23,69.5,15.83,63.31,61.87,22.3,0,0,0,0,0,0,0,0,10.07,10.07,0,10.07,1.44,0,0.72,0,34.53,3.6,0,1.44,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.72,0,0,0,0,0.72,0,0,0,0,0
103985,3,2,2,GuidingValues,"I am somewhat religious and try to live according to my beliefs. I believe in treating everyone as if they are basically a good and important person. I believe we are all heroes on an adventure and must make the most of our limited time in this life on this planet. That is not to say that we shouldn't take the time to enjoy life, but that we will enjoy it more if we complete our quest.",v,77,18.12,82.18,41.14,97.41,19.25,18.18,89.61,79.22,66.23,23.38,14.29,5.19,7.79,0,0,1.3,9.09,19.48,5.19,0,12.99,9.09,2.6,9.09,2.6,18.18,6.49,5.19,9.09,7.79,1.3,0,18.18,2.6,15.58,3.9,1.3,3.9,3.9,0,5.19,0,6.49,6.49,0,3.9,3.9,0,0,0,0,0,16.88,2.6,0,0,0,1.3,1.3,12.99,0,0,0,0
103985,3,2,2,Behaviors7days,I walked to the store once or twice to get food and household supplies. I gave my father his weekly allowance. I did a lot of household chores when I wasn't working on the computer. I got a few video games in the mail and some household supplies. I sometimes watched tv while I ate and relaxed. I helped take care of the dog and cleaned up after him.,v,69,51.87,5.93,92.58,95.08,11.5,17.39,85.51,73.91,56.52,15.94,15.94,13.04,0,0,2.9,0,0,18.84,8.7,2.9,11.59,2.9,4.35,11.59,1.45,18.84,2.9,10.14,5.8,2.9,1.45,1.45,4.35,0,4.35,0,0,0,2.9,0,2.9,0,5.8,5.8,0,1.45,1.45,0,0,0,0,0,14.49,5.8,2.9,0,0,0,1.45,8.7,5.8,0,0,4.35
104402,6,2,5,GuidingValues,    I would imagine it all starts with ones up bringing.  I was raised with religion and the ten commandments and I hold those beliefs very high.  I was also raised hunting and fishing with the concept the you ate what you killed and never killed for the sport of it.   I values were NOT challenged when I join the Military and ended up on the DMZ in Korea.  I believe it boiled down to if someone is shooting at you to KILL you---you best shoot back to preserve your health.      I also valve honesty and I taught this to my kids.  It is truly a shame that out elected politicians couldn't be honest. /     I was lucky enough to get to see both sides of the pond (Korean and Europe) in my 3 year military career and then went back to school and learned Engineering where I became an accomplished Manufacturing Engineer.  Companies I worked for would sent me to other countries and states to set up production plants allowing them to transfer products to be build offshore and cheaper.  Now I might thing twice of the action I took back then as we need the jobs here.  I did expand my worldly knowledge and gave me a broader picture of the world and its people. /     Finally I value my family and all its members.,v,225,37.14,23.57,91.76,32.56,18.75,16.89,80,71.11,59.11,18.67,13.33,9.78,0.44,2.67,0,0.44,5.33,13.33,5.78,1.33,13.33,5.78,4.89,9.33,1.33,14.22,3.56,3.11,7.11,1.78,1.78,3.56,9.33,1.33,8,2.67,0.44,1.78,1.33,0.44,1.33,0,4.44,2.67,1.78,0.44,0,0.44,0,0,0,0,10.67,4.44,0,0,1.33,1.33,0,6.22,1.33,0,0,0
104402,6,2,5,Behaviors7days,"    You hit it on target--cause I just got back from a 10 day stay in out dessert Cabin in Nevada.  Te wonderful days to R and R.  To make it nicer, one of my twin daughter and husband came out for 4 days.  THe wife brought a girlfriend and I brought myself.   /      Probably the most enjoyable part of the vacation was the quiet and solitude.  NO sirens, no helicopters, no  fire engines and NO police sirens.  We did here out emergency copter fly over ONE time but that's okay.   /      We went hiking and saw endangered PUP fish in the natural springs.  Went to the date farm and had a fig shake.  But sadly I must confess we were held up and robbed by the one armed bandits in the area. /  / we all enjoyed-",v,134,78.91,48.93,88.11,55.04,12.18,14.93,81.34,71.64,52.24,9.7,7.46,3.73,2.99,0.75,0,0,2.24,16.42,8.21,2.99,13.43,4.48,2.99,7.46,2.99,13.43,5.97,6.72,7.46,5.97,0,1.49,11.19,5.22,5.97,0.75,1.49,0.75,0.75,0,2.24,0,6.72,4.48,2.24,2.99,2.24,0.75,0,0,0.75,0,8.96,2.24,0,0,0,0,0.75,6.72,2.24,0.75,2.24,0.75
104555,1,1,2,GuidingValues,"I'm glad that I have been blessed to live this long. There have been people around me that have not made it to my age. I lost my brother when he was a baby to SIDS. My cousin-in-law was gunned down when he was 15 years old. / Many people don't understand the value of life. I am glad that I do. / I am at the point where I am re-evaluating my life right now. I feel like there is always room for change.I am looking into ways to be successful, because I feel like everybody has a hand in their success. And in order for me to be successful I have to try. So I've been finding ways to be successful. / Money is a big part of everybody's life. Being poor is no fun. Living paycheck to paycheck. Not knowing how you are going to pay bills sometimes. It's hard to not be able to do the things you want to do because you don't have the money. / It's also hard to see people that are ""rich"" trying to find ways to keep you poor. (Republicans)",v,187,10.43,16.44,85.97,78.01,11,10.7,89.84,80.75,63.64,19.25,13.37,9.63,0,2.14,1.07,0.53,5.88,10.16,3.74,0.53,14.44,19.25,5.88,3.74,3.21,27.27,9.09,2.67,5.88,0.53,3.21,2.14,12.83,2.14,9.63,3.21,2.67,1.07,0.53,0,2.14,0,6.95,5.35,1.6,1.6,1.6,0,0,0,0,0,10.16,0.53,0,0,0,0,0,8.02,1.6,0,0,1.6
104555,1,1,2,Behaviors7days,Every morning I wake up. Eat breakfast. Take a shower. Put my clothes on. Get ready to go to work. / After work I come home and cook dinner. After dinner I watch t.v. for a little while. I usually go to bed around 9:30 pm. / I have gone to a few fast food restaurants in the past week.  / I went to McDonald's on Saturday and ordered me a Big Mac meal. / I went to Captain D's on Sunday and had a Fish & Fry meal for dinner. / On Monday I went to the doctor for a check up. Thankfully everything was ok. / I went to Walmart on Monday also after I came back from the doctor's office.,v,118,94.24,3.75,99,31.93,7.87,11.02,72.88,66.95,49.15,11.02,10.17,10.17,0,0,0,0,0.85,10.17,7.63,1.69,20.34,2.54,3.39,6.78,0,14.41,3.39,4.24,2.54,0,1.69,0.85,2.54,1.69,0.85,0,0,0,0.85,0,0,0,0.85,0.85,0,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
